dataOrigin,minPKey,maxPKey,nMS2,total
/home/chong/Downloads/CCLE/output/Protein_05/f05020_Prot_05_F10.mzML,4807639,4894601,40923,2304368
/home/chong/Downloads/CCLE/output/Protein_05/f05021_Prot_05_F11.mzML,4894610,4981787,41047,2345415
/home/chong/Downloads/CCLE/output/Protein_05/f05022_Prot_05_F12.mzML,4981802,5069231,41159,2386574
/home/chong/Downloads/CCLE/output/Protein_06/f05093_Prot_06_F01.mzML,5069235,5157999,41656,2428230
/home/chong/Downloads/CCLE/output/Protein_06/f05094_Prot_06_F02.mzML,5158006,5246851,41720,2469950
/home/chong/Downloads/CCLE/output/Protein_06/f05095_Prot_06_F03.mzML,5246856,5334868,41391,2511341
/home/chong/Downloads/CCLE/output/Protein_06/f05096_Prot_06_F04.mzML,5334874,5423276,41558,2552899
/home/chong/Downloads/CCLE/output/Protein_06/f05097_Prot_06_F05.mzML,5423285,5510671,41099,2593998
/home/chong/Downloads/CCLE/output/Protein_06/f05098_Prot_06_F06.mzML,5510677,5597160,40646,2634644
/home/chong/Downloads/CCLE/output/Protein_06/f05099_Prot_06_F07.mzML,5597171,5682770,40193,2674837
/home/chong/Downloads/CCLE/output/Protein_06/f05100_Prot_06_F08.mzML,5682776,5768949,40387,2715224
/home/chong/Downloads/CCLE/output/Protein_06/f05101_Prot_06_F09.mzML,5768960,5855593,40711,2755935
/home/chong/Downloads/CCLE/output/Protein_06/f05102_Prot_06_F10.mzML,5855608,5943188,41194,2797129
/home/chong/Downloads/CCLE/output/Protein_06/f05103_Prot_06_F11.mzML,5943195,6031402,41539,2838668
/home/chong/Downloads/CCLE/output/Protein_06/f05104_Prot_06_F12.mzML,6031410,6117547,40336,2879004
/home/chong/Downloads/CCLE/output/Protein_07/f05401_Prot_07_F01.mzML,6117556,6202439,39909,2918913
/home/chong/Downloads/CCLE/output/Protein_07/f05402_Prot_07_F02.mzML,6202479,6288584,40408,2959321
/home/chong/Downloads/CCLE/output/Protein_07/f05403_Prot_07_F03.mzML,6288605,6375693,40944,3000265
/home/chong/Downloads/CCLE/output/Protein_07/f05404_Prot_07_F04.mzML,6375709,6463198,41152,3041417
/home/chong/Downloads/CCLE/output/Protein_07/f05405_Prot_07_F05.mzML,6463222,6547574,39608,3081025
/home/chong/Downloads/CCLE/output/Protein_07/f05406_Prot_07_F06.mzML,6547589,6635770,41471,3122496
/home/chong/Downloads/CCLE/output/Protein_07/f05407_Prot_07_F07.mzML,6635783,6721193,40132,3162628
/home/chong/Downloads/CCLE/output/Protein_07/f05408_Prot_07_F08.mzML,6721245,6808001,40769,3203397
/home/chong/Downloads/CCLE/output/Protein_07/f05409_Prot_07_F09.mzML,6808008,6893632,40128,3243525
/home/chong/Downloads/CCLE/output/Protein_07/f05410_Prot_07_F10.mzML,6893654,6980781,40971,3284496
/home/chong/Downloads/CCLE/output/Protein_07/f05411_Prot_07_F11.mzML,6980810,7066436,40225,3324721
/home/chong/Downloads/CCLE/output/Protein_07/f05412_Prot_07_F12.mzML,7066491,7153383,40864,3365585
/home/chong/Downloads/CCLE/output/Protein_08/f05419_Prot_08_F01.mzML,7153415,7242877,42106,3407691
/home/chong/Downloads/CCLE/output/Protein_08/f05420_Prot_08_F02.mzML,7242884,7330151,40941,3448632
/home/chong/Downloads/CCLE/output/Protein_08/f05421_Prot_08_F03.mzML,7330157,7419595,42027,3490659
/home/chong/Downloads/CCLE/output/Protein_08/f05422_Prot_08_F04.mzML,7419600,7508398,41689,3532348
/home/chong/Downloads/CCLE/output/Protein_08/f05423_Prot_08_F04.mzML,7508403,7598053,42186,3574534
/home/chong/Downloads/CCLE/output/Protein_08/f05424_Prot_08_F05.mzML,7598064,7687087,41820,3616354
/home/chong/Downloads/CCLE/output/Protein_08/f05425_Prot_08_F06.mzML,7687098,7775722,41679,3658033
/home/chong/Downloads/CCLE/output/Protein_08/f05426_Prot_08_F08.mzML,7775744,7864970,41888,3699921
/home/chong/Downloads/CCLE/output/Protein_08/f05427_Prot_08_F09.mzML,7864975,7953464,41532,3741453
/home/chong/Downloads/CCLE/output/Protein_08/f05428_Prot_08_F10.mzML,7953468,8042789,41959,3783412
/home/chong/Downloads/CCLE/output/Protein_08/f05429_Prot_08_F11.mzML,8042794,8129051,40326,3823738
/home/chong/Downloads/CCLE/output/Protein_08/f05430_Prot_08_F12.mzML,8129055,8217552,41594,3865332
/home/chong/Downloads/CCLE/output/Protein_09/f05441_Prot_09_F01.mzML,8217571,8302998,40096,3905428
/home/chong/Downloads/CCLE/output/Protein_09/f05442_Prot_09_F02.mzML,8303004,8390694,41209,3946637
/home/chong/Downloads/CCLE/output/Protein_09/f05443_Prot_09_F03.mzML,8390708,8478411,41134,3987771
/home/chong/Downloads/CCLE/output/Protein_09/f05444_Prot_09_F04.mzML,8478417,8567124,41719,4029490
