,bucket,size,time_dist
632,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_932.pkl,196,0.00830698013305664
633,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_933.pkl,367,0.020345687866210938
634,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_934.pkl,677,0.05403590202331543
635,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_935.pkl,315,0.01607513427734375
636,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_936.pkl,425,0.025671720504760742
637,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_937.pkl,439,0.027163982391357422
638,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_938.pkl,405,0.024211406707763672
639,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_939.pkl,411,0.02404642105102539
640,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_940.pkl,241,0.01079702377319336
641,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_941.pkl,518,0.03599357604980469
642,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_942.pkl,1018,0.35644102096557617
643,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_943.pkl,1076,0.3179919719696045
644,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_944.pkl,268,0.012700319290161133
645,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_945.pkl,1581,0.362302303314209
646,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_946.pkl,732,0.06288957595825195
647,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_947.pkl,282,0.013654947280883789
648,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_948.pkl,333,0.01733565330505371
649,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_949.pkl,567,0.04088735580444336
650,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_950.pkl,276,0.013318777084350586
651,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_951.pkl,267,0.012627840042114258
652,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_952.pkl,377,0.021468400955200195
653,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_953.pkl,236,0.010648250579833984
654,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_954.pkl,710,0.05984163284301758
655,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_955.pkl,274,0.013223648071289062
656,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_956.pkl,306,0.017018795013427734
657,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_957.pkl,933,0.09409809112548828
658,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_958.pkl,471,0.052639007568359375
659,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_959.pkl,263,0.012499570846557617
660,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_960.pkl,532,0.03620505332946777
661,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_961.pkl,5270,1.7698612213134766
662,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_962.pkl,472,0.030571699142456055
663,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_963.pkl,2224,0.5284030437469482
664,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_964.pkl,2915,0.8456933498382568
665,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_965.pkl,562,0.0404360294342041
666,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_966.pkl,944,0.09974193572998047
667,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_967.pkl,1120,0.3343505859375
668,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_968.pkl,393,0.02258586883544922
669,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_969.pkl,482,0.031488895416259766
670,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_970.pkl,1028,0.4994041919708252
671,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_971.pkl,433,0.026315689086914062
672,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_972.pkl,2258,0.75681471824646
673,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_973.pkl,403,0.02409505844116211
674,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_974.pkl,343,0.01822948455810547
675,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_975.pkl,2133,0.5280296802520752
676,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_976.pkl,343,0.01815176010131836
677,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_977.pkl,350,0.018995285034179688
678,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_978.pkl,542,0.038213491439819336
679,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_979.pkl,302,0.015465021133422852
680,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_980.pkl,288,0.01456904411315918
681,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_981.pkl,459,0.029094934463500977
682,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_982.pkl,492,0.03294944763183594
683,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_983.pkl,666,0.05370330810546875
684,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_984.pkl,1176,0.5296964645385742
685,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_985.pkl,305,0.015319347381591797
686,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_986.pkl,1018,0.39336323738098145
687,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_987.pkl,1216,0.371959924697876
