,bucket,size,time_total,time_dist,time_dbscan
547,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14472,4.83406138420105,1.9329633712768555,1.1592662334442139
548,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14205,4.520854473114014,1.8180091381072998,1.070427656173706
549,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,15193,4.856405735015869,1.8652169704437256,1.4304471015930176
550,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14934,5.852916479110718,2.8468685150146484,1.449927806854248
551,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,15658,5.449879884719849,2.172858953475952,1.2661101818084717
552,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,16123,5.167156457901001,2.1382131576538086,1.4496068954467773
553,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,13998,5.168956279754639,1.95603346824646,1.02880859375
554,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14707,4.564301252365112,1.8468666076660156,1.2138307094573975
555,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,12004,3.3668291568756104,1.3229446411132812,0.7390716075897217
556,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,11777,3.308974266052246,1.2947673797607422,0.7391009330749512
557,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,11332,3.090628147125244,1.162782907485962,0.6814866065979004
558,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,16783,6.2296247482299805,2.6613829135894775,1.5879430770874023
559,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,13604,4.144033670425415,1.8285412788391113,0.970604658126831
560,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,16725,5.618219614028931,2.5680038928985596,1.4486281871795654
561,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,11548,3.5676541328430176,1.2516980171203613,0.6949520111083984
562,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,16189,5.49267840385437,2.2781097888946533,1.3383715152740479
563,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,13406,3.8111460208892822,1.525818109512329,0.9062824249267578
564,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14702,4.447584629058838,1.7725474834442139,1.1760480403900146
565,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,21923,11.401531219482422,4.706517219543457,4.4366419315338135
566,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14307,4.153170108795166,1.6456060409545898,1.1046113967895508
567,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,16734,5.575891017913818,2.2569215297698975,1.6175658702850342
568,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,9692,2.268341541290283,0.8134036064147949,0.5021607875823975
569,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,12952,3.5794901847839355,1.3621647357940674,0.8679726123809814
570,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,13744,3.9445652961730957,1.5321273803710938,1.0118110179901123
571,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,11140,3.002464771270752,1.0282745361328125,0.6324763298034668
572,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,17652,6.58709979057312,3.1676247119903564,1.5996119976043701
573,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,10045,2.403057098388672,0.8618898391723633,0.5095155239105225
574,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14649,4.294323682785034,1.7492291927337646,1.0807225704193115
575,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,12115,3.303899049758911,1.2975585460662842,0.7496178150177002
576,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14206,4.506511211395264,1.7552316188812256,1.0262291431427002
577,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,10140,2.77614688873291,1.0221917629241943,0.5320749282836914
578,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14079,4.818068981170654,2.1002585887908936,1.1344377994537354
579,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,11765,3.14522647857666,1.1467087268829346,0.6909849643707275
580,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14519,4.592507839202881,1.833306074142456,1.0855348110198975
581,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,11645,2.990891695022583,1.0925390720367432,0.6889944076538086
582,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14801,4.800681114196777,1.9548587799072266,1.2745044231414795
583,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,12906,3.6573870182037354,1.4526355266571045,0.874004602432251
584,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,11334,2.8654563426971436,1.05476713180542,0.6512954235076904
585,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,12721,3.7788844108581543,1.6348145008087158,0.8589863777160645
586,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,13948,4.550968408584595,1.8906426429748535,1.0529882907867432
587,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,18314,6.66748571395874,2.8160462379455566,1.803192138671875
588,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,13896,4.096120834350586,1.6181585788726807,1.015211820602417
589,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,14139,4.098562479019165,1.6345562934875488,1.014505386352539
590,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,9247,2.193091630935669,0.776996374130249,0.4406707286834717
591,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,11593,2.9919791221618652,1.1255731582641602,0.6840219497680664
592,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,13680,3.837716817855835,1.5522856712341309,0.9399514198303223
593,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,10912,2.8249526023864746,1.0279648303985596,0.6272776126861572
594,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,17099,6.007633447647095,2.4878222942352295,1.5839216709136963
595,/media/maesk/WD/falcon/PXD000561/spectra/2_1500.pkl,9413,2.752213478088379,1.0670483112335205,0.4809145927429199
